Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:7.2150 	Average Loss:  1.087404139637947
Iteration:  200 	s:7.1440 	Average Loss:  1.0992576855421066
Iteration:  300 	s:7.3480 	Average Loss:  1.1001352566480636
Iteration:  400 	s:7.4514 	Average Loss:  1.0987791424989701
Iteration:  500 	s:7.4511 	Average Loss:  1.0744831828773023
Iteration:  600 	s:7.4482 	Average Loss:  1.1146216261386872
Iteration:  700 	s:7.5485 	Average Loss:  1.0997125625610351
Iteration:  800 	s:7.4372 	Average Loss:  1.096726158261299
Iteration:  900 	s:7.5664 	Average Loss:  1.0988175874948503
Iteration:  1000 	s:7.6663 	Average Loss:  1.1011815571784973
Iteration:  1100 	s:7.6336 	Average Loss:  1.097385207414627
Iteration:  1200 	s:7.6500 	Average Loss:  1.0999666982889176
Iteration:  1300 	s:7.6722 	Average Loss:  1.0972076988220214
Iteration:  1400 	s:7.5635 	Average Loss:  1.0609245927003212
Iteration:  1500 	s:7.5864 	Average Loss:  1.097009185552597
Iteration:  1600 	s:7.6537 	Average Loss:  1.038801256150473
Iteration:  1700 	s:7.4994 	Average Loss:  0.91693200806214
Iteration:  1800 	s:7.6380 	Average Loss:  1.0517078061184293
Iteration:  1900 	s:7.6264 	Average Loss:  0.8914497495442629
Iteration:  2000 	s:7.5639 	Average Loss:  0.7270189493826683
Iteration:  2100 	s:7.5442 	Average Loss:  0.6332364651012722
Iteration:  2200 	s:7.6326 	Average Loss:  0.6389151832468634
Iteration:  2300 	s:7.3792 	Average Loss:  0.46709134528646246
Iteration:  2400 	s:7.4897 	Average Loss:  0.4689081142723444
Iteration:  2500 	s:7.4354 	Average Loss:  0.3386592948019097
Iteration:  2600 	s:7.5288 	Average Loss:  0.49637460519135856
Iteration:  2700 	s:7.3802 	Average Loss:  0.3424080084224772
Iteration:  2800 	s:7.5316 	Average Loss:  0.3099717548347144
Iteration:  2900 	s:7.4426 	Average Loss:  0.339478435809433
Iteration:  3000 	s:7.5142 	Average Loss:  0.2984528235492326
Iteration:  3100 	s:7.4283 	Average Loss:  0.3038021389617279
Iteration:  3200 	s:7.3975 	Average Loss:  0.3120561735977969
Iteration:  3300 	s:7.4220 	Average Loss:  0.457165187545329
Iteration:  3400 	s:7.3116 	Average Loss:  0.2972218992765693
Iteration:  3500 	s:7.2424 	Average Loss:  0.29529393155069555
Iteration:  3600 	s:7.3829 	Average Loss:  0.4670826808766651
Iteration:  3700 	s:7.5062 	Average Loss:  0.3993589615628298
Iteration:  3800 	s:7.3691 	Average Loss:  0.19718289528005697
Iteration:  3900 	s:7.4230 	Average Loss:  0.21383044454939423
Iteration:  4000 	s:7.4030 	Average Loss:  0.34305661223945205
Iteration:  4100 	s:7.4066 	Average Loss:  0.2143106709078711
Iteration:  4200 	s:7.3893 	Average Loss:  0.22962932370581257
Iteration:  4300 	s:7.3189 	Average Loss:  0.2848178985726736
Iteration:  4400 	s:7.3906 	Average Loss:  0.2577409828601958
Iteration:  4500 	s:7.4947 	Average Loss:  0.27545434831064314
Iteration:  4600 	s:7.2832 	Average Loss:  0.11353665598047456
Iteration:  4700 	s:7.3070 	Average Loss:  0.17035921566657408
Iteration:  4800 	s:7.2679 	Average Loss:  0.09954719747652234
Iteration:  4900 	s:7.2050 	Average Loss:  0.1916753421243351
Iteration:  5000 	s:6.9875 	Average Loss:  0.15350400987583726
Epoch time:  372.258278131485
Epoch 2
Iteration:  5100 	s:7.2132 	Average Loss:  0.2144065711324174
Iteration:  5200 	s:7.3068 	Average Loss:  0.1926587192273241
Iteration:  5300 	s:7.2281 	Average Loss:  0.22536449600959713
Iteration:  5400 	s:7.3226 	Average Loss:  0.1675427921624214
Iteration:  5500 	s:7.2225 	Average Loss:  0.18970302356890728
Iteration:  5600 	s:7.2948 	Average Loss:  0.14778272698700676
Iteration:  5700 	s:7.3479 	Average Loss:  0.17464731156618654
Iteration:  5800 	s:7.2373 	Average Loss:  0.09918993846185459
Iteration:  5900 	s:7.2489 	Average Loss:  0.1681516167205973
Iteration:  6000 	s:7.3271 	Average Loss:  0.19224572839906615
Iteration:  6100 	s:7.2843 	Average Loss:  0.1478787655675478
Iteration:  6200 	s:7.2468 	Average Loss:  0.1257501771574789
Iteration:  6300 	s:7.1697 	Average Loss:  0.13591935416960724
Iteration:  6400 	s:7.1873 	Average Loss:  0.1177023739861842
Iteration:  6500 	s:7.2467 	Average Loss:  0.19394514185426032
Iteration:  6600 	s:7.2573 	Average Loss:  0.11840605996477059
Iteration:  6700 	s:7.1338 	Average Loss:  0.09944456599377645
Iteration:  6800 	s:7.1300 	Average Loss:  0.31197260775579705
Iteration:  6900 	s:7.3615 	Average Loss:  0.2273469053475253
Iteration:  7000 	s:7.3468 	Average Loss:  0.15085910856695592
Iteration:  7100 	s:7.2920 	Average Loss:  0.28034980685330085
Iteration:  7200 	s:7.3999 	Average Loss:  0.22011483230196974
Iteration:  7300 	s:7.4007 	Average Loss:  0.17429239455770584
Iteration:  7400 	s:7.2181 	Average Loss:  0.1355945493853744
Iteration:  7500 	s:7.1372 	Average Loss:  0.1007739689953337
Iteration:  7600 	s:7.3506 	Average Loss:  0.1839813810486021
Iteration:  7700 	s:7.0968 	Average Loss:  0.07452005971976064
Iteration:  7800 	s:7.2347 	Average Loss:  0.14718414431274468
Iteration:  7900 	s:7.2700 	Average Loss:  0.2183313421998173
Iteration:  8000 	s:7.2878 	Average Loss:  0.15137543915918286
Iteration:  8100 	s:7.3232 	Average Loss:  0.1062836475146878
Iteration:  8200 	s:7.1184 	Average Loss:  0.10213371388442141
Iteration:  8300 	s:7.1520 	Average Loss:  0.2843034792518029
Iteration:  8400 	s:7.1816 	Average Loss:  0.14631768475069976
Iteration:  8500 	s:7.2114 	Average Loss:  0.12018359040047426
Iteration:  8600 	s:7.1898 	Average Loss:  0.2864634497972822
Iteration:  8700 	s:7.2866 	Average Loss:  0.22593904313474694
Iteration:  8800 	s:7.1454 	Average Loss:  0.08341574184101361
Iteration:  8900 	s:7.1469 	Average Loss:  0.15984680455337041
Iteration:  9000 	s:7.2892 	Average Loss:  0.2251484313436208
Iteration:  9100 	s:7.0927 	Average Loss:  0.11094458880286893
Iteration:  9200 	s:7.2146 	Average Loss:  0.11565628178656652
Iteration:  9300 	s:7.2668 	Average Loss:  0.10551612627376869
Iteration:  9400 	s:7.1244 	Average Loss:  0.08151090710882677
Iteration:  9500 	s:7.1576 	Average Loss:  0.1768643623322231
Iteration:  9600 	s:7.1800 	Average Loss:  0.1091388126842223
Iteration:  9700 	s:7.0501 	Average Loss:  0.07672739128353782
Iteration:  9800 	s:6.9179 	Average Loss:  0.044060095398986976
Iteration:  9900 	s:6.9597 	Average Loss:  0.1656225136029739
Iteration:  10000 	s:6.8203 	Average Loss:  0.04348704833173431
Epoch time:  360.6247081756592
Epoch 3
Iteration:  10100 	s:7.0055 	Average Loss:  0.14234816101182127
Iteration:  10200 	s:7.0398 	Average Loss:  0.10670891892766635
Iteration:  10300 	s:7.0980 	Average Loss:  0.16096397770506723
Iteration:  10400 	s:7.2344 	Average Loss:  0.1123829960715421
Iteration:  10500 	s:7.1182 	Average Loss:  0.11265240026149258
Iteration:  10600 	s:7.0907 	Average Loss:  0.095434214747273
Iteration:  10700 	s:7.0557 	Average Loss:  0.1115201434112421
Iteration:  10800 	s:6.9496 	Average Loss:  0.04196120753707861
Iteration:  10900 	s:6.9675 	Average Loss:  0.09855221117587544
Iteration:  11000 	s:7.0938 	Average Loss:  0.14779745172438866
Iteration:  11100 	s:7.1587 	Average Loss:  0.0969752066383127
Iteration:  11200 	s:7.0160 	Average Loss:  0.07922295052809343
Iteration:  11300 	s:7.0748 	Average Loss:  0.0666656667271189
Iteration:  11400 	s:6.8411 	Average Loss:  0.09616145926729897
Iteration:  11500 	s:7.2042 	Average Loss:  0.20707348489013577
Iteration:  11600 	s:7.0439 	Average Loss:  0.04992884859520842
Iteration:  11700 	s:7.0351 	Average Loss:  0.13916834509444864
Iteration:  11800 	s:7.1920 	Average Loss:  0.190381145687179
Iteration:  11900 	s:7.0173 	Average Loss:  0.09676468423914639
Iteration:  12000 	s:7.0135 	Average Loss:  0.09494033423936006
Iteration:  12100 	s:7.1152 	Average Loss:  0.19628706612399374
Iteration:  12200 	s:7.1589 	Average Loss:  0.20722786494686052
Iteration:  12300 	s:7.1794 	Average Loss:  0.130018489406581
Iteration:  12400 	s:7.0926 	Average Loss:  0.1027009363852956
Iteration:  12500 	s:6.8680 	Average Loss:  0.11311175476435359
Iteration:  12600 	s:7.1120 	Average Loss:  0.08538361512872754
Iteration:  12700 	s:6.7319 	Average Loss:  0.05001454699033287
Iteration:  12800 	s:6.9083 	Average Loss:  0.1306305891919346
Iteration:  12900 	s:6.9881 	Average Loss:  0.08450716153286258
Iteration:  13000 	s:7.2676 	Average Loss:  0.07608222615405506
Iteration:  13100 	s:7.5481 	Average Loss:  0.05003934380669819
Iteration:  13200 	s:6.9840 	Average Loss:  0.11554343662729337
Iteration:  13300 	s:7.0432 	Average Loss:  0.2048086117250817
Iteration:  13400 	s:6.9809 	Average Loss:  0.09909466820113785
Iteration:  13500 	s:7.0279 	Average Loss:  0.11193845939748068
Iteration:  13600 	s:7.1359 	Average Loss:  0.17753084343964662
Iteration:  13700 	s:7.1242 	Average Loss:  0.19565805826515656
Iteration:  13800 	s:7.1358 	Average Loss:  0.06602591141514395
Iteration:  13900 	s:6.9331 	Average Loss:  0.05534148009310788
Iteration:  14000 	s:7.1491 	Average Loss:  0.12513767307315682
Iteration:  14100 	s:6.8749 	Average Loss:  0.06167230010780215
Iteration:  14200 	s:6.7760 	Average Loss:  0.1192222233177996
Iteration:  14300 	s:7.0978 	Average Loss:  0.06671109634141167
Iteration:  14400 	s:7.0069 	Average Loss:  0.07214356280622256
Iteration:  14500 	s:6.8582 	Average Loss:  0.08087658043953255
Iteration:  14600 	s:6.8942 	Average Loss:  0.10949180314799105
Iteration:  14700 	s:7.0395 	Average Loss:  0.06485289695943959
Iteration:  14800 	s:6.8176 	Average Loss:  0.040440022455262147
Iteration:  14900 	s:6.9488 	Average Loss:  0.141003842342856
Iteration:  15000 	s:6.8828 	Average Loss:  0.057848201127364496
Epoch time:  351.9214780330658
Epoch 4
Iteration:  15100 	s:6.8873 	Average Loss:  0.1208938287343916
Iteration:  15200 	s:7.1201 	Average Loss:  0.06703801579605774
Iteration:  15300 	s:7.0445 	Average Loss:  0.07943460445865953
Iteration:  15400 	s:6.9774 	Average Loss:  0.14676715188642547
Iteration:  15500 	s:6.8220 	Average Loss:  0.12053559639720753
Iteration:  15600 	s:6.8884 	Average Loss:  0.055115467319229755
Iteration:  15700 	s:6.9600 	Average Loss:  0.16176839198479392
Iteration:  15800 	s:6.9992 	Average Loss:  0.06369836754392566
Iteration:  15900 	s:6.8744 	Average Loss:  0.05226457552391764
Iteration:  16000 	s:6.8834 	Average Loss:  0.07569705828461712
Iteration:  16100 	s:6.8607 	Average Loss:  0.07012996269476568
Iteration:  16200 	s:6.8003 	Average Loss:  0.07328905944340346
Iteration:  16300 	s:6.8725 	Average Loss:  0.06249966849965894
Iteration:  16400 	s:6.7992 	Average Loss:  0.060834572317865786
Iteration:  16500 	s:6.8581 	Average Loss:  0.09286234525442247
Iteration:  16600 	s:6.7886 	Average Loss:  0.052990007683733215
Iteration:  16700 	s:6.4092 	Average Loss:  0.026771765249733487
Iteration:  16800 	s:6.7355 	Average Loss:  0.1601598530416474
Iteration:  16900 	s:6.8366 	Average Loss:  0.12654339162481365
Iteration:  17000 	s:6.8182 	Average Loss:  0.09169504161562948
Iteration:  17100 	s:6.7417 	Average Loss:  0.1125143560157617
Iteration:  17200 	s:6.9162 	Average Loss:  0.11544036361373188
Iteration:  17300 	s:6.8680 	Average Loss:  0.17706704153653527
Iteration:  17400 	s:6.8807 	Average Loss:  0.07708099250379644
Iteration:  17500 	s:6.7994 	Average Loss:  0.07260058563275253
Iteration:  17600 	s:6.9348 	Average Loss:  0.07722365356446005
Iteration:  17700 	s:6.5451 	Average Loss:  0.03424571757297548
Iteration:  17800 	s:6.7480 	Average Loss:  0.04816076867281191
Iteration:  17900 	s:6.7361 	Average Loss:  0.11669850477131227
Iteration:  18000 	s:6.7932 	Average Loss:  0.06263561788601718
Iteration:  18100 	s:6.7512 	Average Loss:  0.05504668304052457
Iteration:  18200 	s:6.6897 	Average Loss:  0.056381448213050994
Iteration:  18300 	s:6.8299 	Average Loss:  0.13667830225390237
Iteration:  18400 	s:6.7629 	Average Loss:  0.06954775429832377
Iteration:  18500 	s:6.9057 	Average Loss:  0.1165171076306286
Iteration:  18600 	s:6.9831 	Average Loss:  0.13589325457695087
Iteration:  18700 	s:6.9474 	Average Loss:  0.14371745711330808
Iteration:  18800 	s:6.8088 	Average Loss:  0.031521798257706166
Iteration:  18900 	s:6.8053 	Average Loss:  0.046176102393212105
Iteration:  19000 	s:6.7866 	Average Loss:  0.06499782563670052
Iteration:  19100 	s:6.7052 	Average Loss:  0.04040477757608458
Iteration:  19200 	s:6.6428 	Average Loss:  0.113884317883121
Iteration:  19300 	s:6.8267 	Average Loss:  0.05362640871844441
Iteration:  19400 	s:6.7007 	Average Loss:  0.11451902274529058
Iteration:  19500 	s:6.7793 	Average Loss:  0.028434223356885342
Iteration:  19600 	s:6.7376 	Average Loss:  0.08627760702448953
Iteration:  19700 	s:6.6676 	Average Loss:  0.06061612919266247
Iteration:  19800 	s:6.6142 	Average Loss:  0.013213587095651817
Iteration:  19900 	s:6.7578 	Average Loss:  0.10022440283120876
Iteration:  20000 	s:6.4787 	Average Loss:  0.014873642804765268
Epoch time:  340.38554525375366
Epoch 5
Iteration:  20100 	s:6.7933 	Average Loss:  0.08562252246147327
Iteration:  20200 	s:6.6534 	Average Loss:  0.05649371815402932
Iteration:  20300 	s:6.6027 	Average Loss:  0.05308571637716449
Iteration:  20400 	s:6.6386 	Average Loss:  0.10500838118797551
Iteration:  20500 	s:6.8438 	Average Loss:  0.12942801723896477
Iteration:  20600 	s:6.6829 	Average Loss:  0.03678516736107924
