Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:23.0190 	Average Loss:  2.9845229852199555
Iteration:  200 	s:16.4472 	Average Loss:  2.7110180473327636
Iteration:  300 	s:16.6162 	Average Loss:  2.6904329872131347
Iteration:  400 	s:16.4324 	Average Loss:  2.4281555044651033
Iteration:  500 	s:16.1875 	Average Loss:  2.398969891667366
Iteration:  600 	s:16.3066 	Average Loss:  2.181703884601593
Iteration:  700 	s:16.4415 	Average Loss:  2.043179287016392
Iteration:  800 	s:15.7593 	Average Loss:  1.8063980957865715
Iteration:  900 	s:15.1128 	Average Loss:  1.2897289646277204
Iteration:  1000 	s:15.1404 	Average Loss:  0.8637847549561412
Iteration:  1100 	s:14.1164 	Average Loss:  0.5918841206144134
Iteration:  1200 	s:14.1753 	Average Loss:  0.7573428570507531
Iteration:  1300 	s:14.5599 	Average Loss:  0.5928399993442872
Iteration:  1400 	s:12.7826 	Average Loss:  0.6670229795502383
Iteration:  1500 	s:13.3769 	Average Loss:  0.6244694555312162
Iteration:  1600 	s:13.8769 	Average Loss:  0.5880223377613584
Iteration:  1700 	s:13.3260 	Average Loss:  0.36943472439423203
Iteration:  1800 	s:12.9257 	Average Loss:  0.27620990464420175
Iteration:  1900 	s:12.7685 	Average Loss:  0.2877457798447176
Iteration:  2000 	s:13.9590 	Average Loss:  0.6663741313971877
Iteration:  2100 	s:13.4587 	Average Loss:  0.3363064880498132
Iteration:  2200 	s:13.4214 	Average Loss:  0.49633164999024304
Iteration:  2300 	s:13.2804 	Average Loss:  0.33492656277783683
Iteration:  2400 	s:13.2634 	Average Loss:  0.4058571117318206
Iteration:  2500 	s:13.8379 	Average Loss:  0.40860206741210275
Iteration:  2600 	s:13.1714 	Average Loss:  0.38644455197591016
Iteration:  2700 	s:13.0727 	Average Loss:  0.3395121361554493
Iteration:  2800 	s:12.2535 	Average Loss:  0.3124282122749921
Iteration:  2900 	s:12.8311 	Average Loss:  0.36228939071539573
Iteration:  3000 	s:13.7023 	Average Loss:  0.5915257025107712
Iteration:  3100 	s:13.1007 	Average Loss:  0.2049035074920539
Iteration:  3200 	s:13.3001 	Average Loss:  0.2865263206623422
Iteration:  3300 	s:13.3290 	Average Loss:  0.2655715092459468
Iteration:  3400 	s:12.7011 	Average Loss:  0.33630077946996606
Iteration:  3500 	s:12.3542 	Average Loss:  0.3173232769911374
Iteration:  3600 	s:12.5240 	Average Loss:  0.14377026578400545
Iteration:  3700 	s:12.0241 	Average Loss:  0.17343483449967562
Iteration:  3800 	s:12.9412 	Average Loss:  0.30164539096077986
Iteration:  3900 	s:12.2789 	Average Loss:  0.22082035636402814
Iteration:  4000 	s:12.3661 	Average Loss:  0.32583493935109303
Iteration:  4100 	s:12.5009 	Average Loss:  0.23622048074190388
