Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.6479 	Average Loss:  0.24714704878628255
Iteration:  200 	s:8.8173 	Average Loss:  0.248182678706944
Iteration:  300 	s:8.6156 	Average Loss:  0.3580809673294425
Iteration:  400 	s:8.7053 	Average Loss:  0.25917566284537313
Iteration:  500 	s:8.6961 	Average Loss:  0.40203124545514585
Iteration:  600 	s:8.4543 	Average Loss:  0.3031114173680544
Iteration:  700 	s:8.6259 	Average Loss:  0.3360706233233213
Iteration:  800 	s:8.6027 	Average Loss:  0.3473018038645387
Iteration:  900 	s:8.8065 	Average Loss:  0.33607369430363176
Iteration:  1000 	s:8.7209 	Average Loss:  0.3689713528007269
Iteration:  1100 	s:8.7201 	Average Loss:  0.3216996953822672
Iteration:  1200 	s:8.6945 	Average Loss:  0.27477789638971445
Iteration:  1300 	s:8.7340 	Average Loss:  0.37067254228401
Iteration:  1400 	s:8.7534 	Average Loss:  0.5020881842868402
Iteration:  1500 	s:8.6720 	Average Loss:  0.29006223669275644
Iteration:  1600 	s:8.8439 	Average Loss:  0.30106179005932066
Iteration:  1700 	s:8.6959 	Average Loss:  0.2612094478402287
Iteration:  1800 	s:8.7090 	Average Loss:  0.25388723199022933
Iteration:  1900 	s:8.5184 	Average Loss:  0.24219404418952764
Iteration:  2000 	s:8.6930 	Average Loss:  0.3275314352172427
Iteration:  2100 	s:8.5656 	Average Loss:  0.2907822670409223
Iteration:  2200 	s:8.5850 	Average Loss:  0.3001660136829014
Iteration:  2300 	s:8.3327 	Average Loss:  0.28360697022650583
Iteration:  2400 	s:8.5874 	Average Loss:  0.25363926686411103
Iteration:  2500 	s:8.3359 	Average Loss:  0.2900459776152968
Iteration:  2600 	s:8.5122 	Average Loss:  0.23088355953679185
Iteration:  2700 	s:8.5307 	Average Loss:  0.23762907475363135
Iteration:  2800 	s:8.6471 	Average Loss:  0.23613949342732668
Iteration:  2900 	s:8.4320 	Average Loss:  0.2538198935158516
Iteration:  3000 	s:8.5953 	Average Loss:  0.23895358876638056
Iteration:  3100 	s:8.5053 	Average Loss:  0.24919806970550212
Iteration:  3200 	s:8.4413 	Average Loss:  0.23241174676991933
Iteration:  3300 	s:8.5697 	Average Loss:  0.28225585804888426
Iteration:  3400 	s:8.2767 	Average Loss:  0.18021015244868976
Iteration:  3500 	s:8.2991 	Average Loss:  0.1696192858440645
Iteration:  3600 	s:8.2506 	Average Loss:  0.19280629729645626
Iteration:  3700 	s:8.2427 	Average Loss:  0.24636215312197693
Iteration:  3800 	s:8.2907 	Average Loss:  0.2528404127775585
Iteration:  3900 	s:8.1341 	Average Loss:  0.1906923759371358
Iteration:  4000 	s:8.3501 	Average Loss:  0.21379175597703806
Iteration:  4100 	s:8.1945 	Average Loss:  0.22077302378925878
Iteration:  4200 	s:8.2626 	Average Loss:  0.21273232857634297
Iteration:  4300 	s:8.2682 	Average Loss:  0.2474471042909144
Iteration:  4400 	s:8.2407 	Average Loss:  0.2522359056622156
Iteration:  4500 	s:8.2017 	Average Loss:  0.1761790175687247
Iteration:  4600 	s:8.0912 	Average Loss:  0.19375337473302193
Iteration:  4700 	s:8.3148 	Average Loss:  0.1524175436111114
