Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.2754 	Average Loss:  1.7654948082566262
Iteration:  200 	s:7.8078 	Average Loss:  1.7119343437999488
Iteration:  300 	s:7.6596 	Average Loss:  1.4511568286735566
Iteration:  400 	s:7.5763 	Average Loss:  1.0707908528335974
Iteration:  500 	s:7.5914 	Average Loss:  0.634510942268164
Iteration:  600 	s:7.5103 	Average Loss:  0.6960761531100342
Iteration:  700 	s:7.4341 	Average Loss:  0.536065103447254
Iteration:  800 	s:7.3962 	Average Loss:  0.3549564875950905
Iteration:  900 	s:7.0817 	Average Loss:  0.46304010380838745
Iteration:  1000 	s:7.4262 	Average Loss:  0.3715051917559204
Iteration:  1100 	s:7.2416 	Average Loss:  0.3607434999699326
Iteration:  1200 	s:7.3736 	Average Loss:  0.2972292012315616
Iteration:  1300 	s:7.3218 	Average Loss:  0.3413621305966111
Iteration:  1400 	s:7.1670 	Average Loss:  0.42608079336215954
Iteration:  1500 	s:7.5014 	Average Loss:  0.37997945843256387
Iteration:  1600 	s:7.1145 	Average Loss:  0.1760652616869347
Iteration:  1700 	s:7.1698 	Average Loss:  0.26642693630073205
Iteration:  1800 	s:7.5062 	Average Loss:  0.4050732994870623
Iteration:  1900 	s:7.5462 	Average Loss:  0.33261753249788645
Iteration:  2000 	s:7.4284 	Average Loss:  0.3346852935069285
Iteration:  2100 	s:7.3341 	Average Loss:  0.30107645009992323
Iteration:  2200 	s:7.2280 	Average Loss:  0.3646258109463284
Iteration:  2300 	s:7.4082 	Average Loss:  0.2836816527582937
Iteration:  2400 	s:7.3836 	Average Loss:  0.2537929274647332
Iteration:  2500 	s:7.0941 	Average Loss:  0.14742402177313874
Iteration:  2600 	s:7.0926 	Average Loss:  0.20268812862020177
Iteration:  2700 	s:7.0209 	Average Loss:  0.14184287386721078
Iteration:  2800 	s:7.0083 	Average Loss:  0.1996646814600536
Iteration:  2900 	s:7.1053 	Average Loss:  0.2887647814139778
Iteration:  3000 	s:7.1978 	Average Loss:  0.27352717949924005
Iteration:  3100 	s:6.9935 	Average Loss:  0.16816628599588895
Iteration:  3200 	s:6.8230 	Average Loss:  0.256573431576064
Iteration:  3300 	s:7.1162 	Average Loss:  0.16110680424478901
Iteration:  3400 	s:6.8879 	Average Loss:  0.14671501389509836
Iteration:  3500 	s:7.0914 	Average Loss:  0.17951120714423266
Iteration:  3600 	s:6.9231 	Average Loss:  0.24454978790369666
Iteration:  3700 	s:7.1366 	Average Loss:  0.25387440377315473
Iteration:  3800 	s:7.2091 	Average Loss:  0.14796912737963294
Iteration:  3900 	s:6.9675 	Average Loss:  0.16243404248852586
Iteration:  4000 	s:7.0763 	Average Loss:  0.27537446676511373
Iteration:  4100 	s:7.0012 	Average Loss:  0.1619136871391996
Iteration:  4200 	s:6.9523 	Average Loss:  0.20192348164313784
Iteration:  4300 	s:6.8085 	Average Loss:  0.1527921611027546
Iteration:  4400 	s:7.1011 	Average Loss:  0.29698414506169596
Iteration:  4500 	s:7.2533 	Average Loss:  0.15602107829915393
Iteration:  4600 	s:6.9267 	Average Loss:  0.17529670017826135
Iteration:  4700 	s:6.9636 	Average Loss:  0.1325153925989416
Iteration:  4800 	s:6.7986 	Average Loss:  0.1073599492380828
Iteration:  4900 	s:7.0961 	Average Loss:  0.2112684899387682
Iteration:  5000 	s:6.8656 	Average Loss:  0.0887512432001563
Epoch time:  361.063916683197
Epoch 2
Iteration:  5100 	s:7.1457 	Average Loss:  0.13747553528084563
Iteration:  5200 	s:6.8241 	Average Loss:  0.25200500908284534
Iteration:  5300 	s:6.7151 	Average Loss:  0.19178628115333068
Iteration:  5400 	s:6.6375 	Average Loss:  0.11063813133824855
Iteration:  5500 	s:6.4750 	Average Loss:  0.17870234242256505
Iteration:  5600 	s:6.8612 	Average Loss:  0.22177013688541627
Iteration:  5700 	s:6.8703 	Average Loss:  0.16334632496859813
Iteration:  5800 	s:6.7120 	Average Loss:  0.06096979050423583
Iteration:  5900 	s:6.2198 	Average Loss:  0.08415301812005613
