Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.2894 	Average Loss:  3.273579630255699
Iteration:  200 	s:6.9646 	Average Loss:  2.8677680252701974
Iteration:  300 	s:6.8107 	Average Loss:  1.8974927517119522
Iteration:  400 	s:6.6435 	Average Loss:  1.2571434116375895
Iteration:  500 	s:6.5103 	Average Loss:  0.6608590037813907
Iteration:  600 	s:6.6353 	Average Loss:  0.6535413420700797
Iteration:  700 	s:6.5728 	Average Loss:  0.6000697332717119
Iteration:  800 	s:6.5153 	Average Loss:  0.4873494939786701
Iteration:  900 	s:6.5177 	Average Loss:  0.5501405557532485
Iteration:  1000 	s:6.5022 	Average Loss:  0.3893056192587278
Iteration:  1100 	s:6.4732 	Average Loss:  0.4706134865536696
Iteration:  1200 	s:6.5142 	Average Loss:  0.4072794119354194
Iteration:  1300 	s:6.5436 	Average Loss:  0.42580294364893534
Iteration:  1400 	s:6.3622 	Average Loss:  0.3831852992242632
Iteration:  1500 	s:6.5249 	Average Loss:  0.4654940789977377
Iteration:  1600 	s:6.3999 	Average Loss:  0.25105598229649556
Iteration:  1700 	s:6.3742 	Average Loss:  0.24338975196161264
Iteration:  1800 	s:6.5198 	Average Loss:  0.4932386974278188
Iteration:  1900 	s:6.3669 	Average Loss:  0.383197513028872
Iteration:  2000 	s:6.4392 	Average Loss:  0.4004688381867436
Iteration:  2100 	s:6.6010 	Average Loss:  0.3574452526173525
Iteration:  2200 	s:6.4886 	Average Loss:  0.4745046273184198
Iteration:  2300 	s:6.4808 	Average Loss:  0.3087328188595538
Iteration:  2400 	s:6.4687 	Average Loss:  0.33991170457210507
Iteration:  2500 	s:6.4557 	Average Loss:  0.20011302333487266
Iteration:  2600 	s:6.3052 	Average Loss:  0.2758598494433081
Iteration:  2700 	s:6.2016 	Average Loss:  0.1848244577399947
Iteration:  2800 	s:6.4096 	Average Loss:  0.28246606772501087
Iteration:  2900 	s:6.3776 	Average Loss:  0.29650017095373093
Iteration:  3000 	s:6.6135 	Average Loss:  0.3206683825046321
Iteration:  3100 	s:6.1990 	Average Loss:  0.2312923975004278
Iteration:  3200 	s:6.4227 	Average Loss:  0.31685031078691145
Iteration:  3300 	s:6.1720 	Average Loss:  0.2503356510625281
Iteration:  3400 	s:6.2960 	Average Loss:  0.2120679975794676
Iteration:  3500 	s:6.4440 	Average Loss:  0.2753493276345137
Iteration:  3600 	s:6.3103 	Average Loss:  0.2766890674466076
Iteration:  3700 	s:6.3441 	Average Loss:  0.2608905081478856
Iteration:  3800 	s:6.3640 	Average Loss:  0.266083514553206
Iteration:  3900 	s:6.1096 	Average Loss:  0.2661754000005153
Iteration:  4000 	s:6.4430 	Average Loss:  0.3582106490736987
Iteration:  4100 	s:6.3263 	Average Loss:  0.20679758533799575
Iteration:  4200 	s:6.3627 	Average Loss:  0.25402578555252786
Iteration:  4300 	s:6.2459 	Average Loss:  0.24127696615975885
Iteration:  4400 	s:6.3747 	Average Loss:  0.3035413048716362
Iteration:  4500 	s:6.4892 	Average Loss:  0.230028688245352
Iteration:  4600 	s:6.3114 	Average Loss:  0.21440385045879792
Iteration:  4700 	s:6.0925 	Average Loss:  0.11593366968689633
Iteration:  4800 	s:5.9621 	Average Loss:  0.21183302732607864
Iteration:  4900 	s:6.2281 	Average Loss:  0.23701144605131502
Iteration:  5000 	s:6.1198 	Average Loss:  0.13131826326975524
Epoch time:  322.5606920719147
Epoch 2
Iteration:  5100 	s:6.0324 	Average Loss:  0.15140029848178665
Iteration:  5200 	s:6.1236 	Average Loss:  0.24473306155338567
Iteration:  5300 	s:6.0851 	Average Loss:  0.2186921478586642
Iteration:  5400 	s:6.2312 	Average Loss:  0.2267992544508686
Iteration:  5500 	s:6.0253 	Average Loss:  0.18851939812939705
Iteration:  5600 	s:6.0374 	Average Loss:  0.21841459740487815
Iteration:  5700 	s:6.3052 	Average Loss:  0.21529590117902994
Iteration:  5800 	s:6.1960 	Average Loss:  0.08770568806225774
Iteration:  5900 	s:6.1452 	Average Loss:  0.1076642378458478
Iteration:  6000 	s:6.3465 	Average Loss:  0.21867408202966224
Iteration:  6100 	s:6.2298 	Average Loss:  0.22912749506135943
Iteration:  6200 	s:6.3482 	Average Loss:  0.18666425211756768
Iteration:  6300 	s:6.2143 	Average Loss:  0.20758027395583192
Iteration:  6400 	s:6.0293 	Average Loss:  0.1571014140354788
Iteration:  6500 	s:6.0563 	Average Loss:  0.33490255779123257
Iteration:  6600 	s:5.9622 	Average Loss:  0.15272499466155648
Iteration:  6700 	s:5.8096 	Average Loss:  0.1495194556071946
Iteration:  6800 	s:6.2403 	Average Loss:  0.25138304930817945
Iteration:  6900 	s:6.1988 	Average Loss:  0.2077338101159637
Iteration:  7000 	s:5.9714 	Average Loss:  0.26459521970856803
Iteration:  7100 	s:6.2521 	Average Loss:  0.15594169493141138
Iteration:  7200 	s:5.9765 	Average Loss:  0.2709323253069409
Iteration:  7300 	s:5.5807 	Average Loss:  0.1917728612027998
Iteration:  7400 	s:5.8130 	Average Loss:  0.15767274511769394
Iteration:  7500 	s:5.8155 	Average Loss:  0.10311057580348422
Iteration:  7600 	s:5.7982 	Average Loss:  0.1481898591675443
