Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:7.2230 	Average Loss:  0.4870286325365305
Iteration:  200 	s:7.1894 	Average Loss:  0.337749661358539
Iteration:  300 	s:7.2628 	Average Loss:  0.22022663337731502
Iteration:  400 	s:7.4611 	Average Loss:  0.1733146997493168
Iteration:  500 	s:7.0635 	Average Loss:  0.15011071827291744
Iteration:  600 	s:6.9457 	Average Loss:  0.18459390004143642
Iteration:  700 	s:7.0458 	Average Loss:  0.2140354448727885
Iteration:  800 	s:7.0344 	Average Loss:  0.16075886350864238
Iteration:  900 	s:7.1232 	Average Loss:  0.082381191462419
Iteration:  1000 	s:7.0688 	Average Loss:  0.1403990608781669
Iteration:  1100 	s:6.8852 	Average Loss:  0.15280633854010175
Iteration:  1200 	s:7.4371 	Average Loss:  0.06331763211746307
Iteration:  1300 	s:7.1326 	Average Loss:  0.16809894904234773
Iteration:  1400 	s:7.2924 	Average Loss:  0.12565205490182962
Iteration:  1500 	s:7.2037 	Average Loss:  0.09519905875718365
Iteration:  1600 	s:7.5422 	Average Loss:  0.06372867853039839
Iteration:  1700 	s:7.1933 	Average Loss:  0.1289363492374067
Iteration:  1800 	s:7.0169 	Average Loss:  0.05228828253745803
Iteration:  1900 	s:7.0363 	Average Loss:  0.08379332108739178
Iteration:  2000 	s:7.4836 	Average Loss:  0.06785435904366914
Iteration:  2100 	s:7.1438 	Average Loss:  0.038087064352312155
Iteration:  2200 	s:7.0357 	Average Loss:  0.12518262186194312
Iteration:  2300 	s:7.3796 	Average Loss:  0.06582405364300889
Iteration:  2400 	s:7.4142 	Average Loss:  0.14049507250643786
Iteration:  2500 	s:7.0442 	Average Loss:  0.05488891959015149
Iteration:  2600 	s:7.2396 	Average Loss:  0.0987647314125794
Iteration:  2700 	s:7.1716 	Average Loss:  0.10397864973708693
Iteration:  2800 	s:7.2804 	Average Loss:  0.07032913029683413
Iteration:  2900 	s:7.1829 	Average Loss:  0.08341368059644537
Iteration:  3000 	s:7.3006 	Average Loss:  0.0832670370042689
Iteration:  3100 	s:7.2006 	Average Loss:  0.03664735334288334
Iteration:  3200 	s:7.5883 	Average Loss:  0.0655713104738448
Iteration:  3300 	s:6.9011 	Average Loss:  0.1451600984533478
Iteration:  3400 	s:7.3002 	Average Loss:  0.06272059290089146
Iteration:  3500 	s:7.1530 	Average Loss:  0.07954919604153861
Iteration:  3600 	s:7.1483 	Average Loss:  0.11451558321137355
Iteration:  3700 	s:7.5601 	Average Loss:  0.07235519966645043
Iteration:  3800 	s:7.2755 	Average Loss:  0.03148777128770206
Iteration:  3900 	s:7.1179 	Average Loss:  0.12195355217658033
Iteration:  4000 	s:7.5222 	Average Loss:  0.04477006138110575
Iteration:  4100 	s:6.6748 	Average Loss:  0.07302964014079982
Iteration:  4200 	s:6.8117 	Average Loss:  0.07831312738455494
Iteration:  4300 	s:7.2056 	Average Loss:  0.0876228921615649
Iteration:  4400 	s:7.5895 	Average Loss:  0.1880684731305864
Iteration:  4500 	s:7.3652 	Average Loss:  0.06504236082780807
Iteration:  4600 	s:7.3787 	Average Loss:  0.0555136272556026
Iteration:  4700 	s:7.4221 	Average Loss:  0.07327289890412167
Iteration:  4800 	s:7.3169 	Average Loss:  0.08203968710601636
Iteration:  4900 	s:6.9586 	Average Loss:  0.06898611858146964
Iteration:  5000 	s:7.0328 	Average Loss:  0.029205449677057585
Epoch time:  360.4347445964813
Epoch 2
Iteration:  5100 	s:7.5345 	Average Loss:  0.022528884276979754
Iteration:  5200 	s:7.0657 	Average Loss:  0.041196694926881675
Iteration:  5300 	s:7.1325 	Average Loss:  0.0740027157223351
