Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.2897 	Average Loss:  0.5989988768287003
Iteration:  200 	s:7.6307 	Average Loss:  0.44327327959617835
Iteration:  300 	s:7.7053 	Average Loss:  0.42530952374392655
Iteration:  400 	s:7.7538 	Average Loss:  0.42152920245804126
Iteration:  500 	s:7.6081 	Average Loss:  0.46751372882106806
Iteration:  600 	s:7.5885 	Average Loss:  0.39053832497389523
Iteration:  700 	s:7.7709 	Average Loss:  0.3879081312473863
Iteration:  800 	s:7.7788 	Average Loss:  0.4031786373640534
Iteration:  900 	s:7.6857 	Average Loss:  0.41088762424495145
Iteration:  1000 	s:7.7417 	Average Loss:  0.3566034663361188
Iteration:  1100 	s:7.6717 	Average Loss:  0.32414162820866765
Iteration:  1200 	s:7.7372 	Average Loss:  0.31377115404153444
Iteration:  1300 	s:7.6883 	Average Loss:  0.4084900424664011
Iteration:  1400 	s:7.7810 	Average Loss:  0.3421408493963554
Iteration:  1500 	s:7.8036 	Average Loss:  0.3361372789527923
Iteration:  1600 	s:7.5940 	Average Loss:  0.28759209702515365
Iteration:  1700 	s:7.8109 	Average Loss:  0.2519162783251295
Iteration:  1800 	s:7.8201 	Average Loss:  0.34714200601441464
Iteration:  1900 	s:7.6129 	Average Loss:  0.2529667736221478
Iteration:  2000 	s:7.7749 	Average Loss:  0.352958446353216
Iteration:  2100 	s:7.6751 	Average Loss:  0.33530668011469517
Iteration:  2200 	s:7.6539 	Average Loss:  0.33552784183344925
Iteration:  2300 	s:7.6192 	Average Loss:  0.31352412957839704
Iteration:  2400 	s:7.6609 	Average Loss:  0.34398499634874014
Iteration:  2500 	s:7.6041 	Average Loss:  0.18864494032610316
Iteration:  2600 	s:7.6427 	Average Loss:  0.23098361722610442
Iteration:  2700 	s:7.8025 	Average Loss:  0.23276638004188527
Iteration:  2800 	s:7.7092 	Average Loss:  0.23632114179357586
Iteration:  2900 	s:7.6857 	Average Loss:  0.2094213773164672
Iteration:  3000 	s:7.5123 	Average Loss:  0.216055485167331
Iteration:  3100 	s:7.4658 	Average Loss:  0.22905533814258433
Iteration:  3200 	s:7.5753 	Average Loss:  0.38098882031229564
Iteration:  3300 	s:7.7150 	Average Loss:  0.25603261415755696
Iteration:  3400 	s:7.3798 	Average Loss:  0.16392275671882572
Iteration:  3500 	s:7.7860 	Average Loss:  0.24767674760140834
Iteration:  3600 	s:7.5675 	Average Loss:  0.20933993496997347
Iteration:  3700 	s:7.6784 	Average Loss:  0.2964571519445292
Iteration:  3800 	s:7.7076 	Average Loss:  0.19435318346411803
Iteration:  3900 	s:7.6266 	Average Loss:  0.11442899423927713
Iteration:  4000 	s:7.6759 	Average Loss:  0.2552711549562457
Iteration:  4100 	s:7.7271 	Average Loss:  0.18991033079241454
Iteration:  4200 	s:7.5959 	Average Loss:  0.19064991077333387
Iteration:  4300 	s:7.6174 	Average Loss:  0.24228422719307674
Iteration:  4400 	s:7.5099 	Average Loss:  0.18709806479111202
Iteration:  4500 	s:7.6163 	Average Loss:  0.24509182796648019
Iteration:  4600 	s:7.5801 	Average Loss:  0.17998358426382766
Iteration:  4700 	s:7.5128 	Average Loss:  0.12360782335533493
Iteration:  4800 	s:7.3021 	Average Loss:  0.1923755266151542
Iteration:  4900 	s:7.6363 	Average Loss:  0.21332862383527754
Iteration:  5000 	s:7.4072 	Average Loss:  0.10762012323265026
Epoch time:  383.1671392917633
Epoch 2
Iteration:  5100 	s:7.3074 	Average Loss:  0.135010297261411
Iteration:  5200 	s:7.4904 	Average Loss:  0.13214601564232112
Iteration:  5300 	s:7.3761 	Average Loss:  0.17919583775127648
Iteration:  5400 	s:7.3866 	Average Loss:  0.1533918089227555
Iteration:  5500 	s:7.2916 	Average Loss:  0.14197740559266564
Iteration:  5600 	s:7.0869 	Average Loss:  0.12093172157870771
Iteration:  5700 	s:7.2261 	Average Loss:  0.13622743168430151
Iteration:  5800 	s:7.3873 	Average Loss:  0.12499974438544001
Iteration:  5900 	s:7.4661 	Average Loss:  0.18879593577221873
Iteration:  6000 	s:7.3788 	Average Loss:  0.128579400050229
Iteration:  6100 	s:7.3543 	Average Loss:  0.09144191165863419
Iteration:  6200 	s:7.0896 	Average Loss:  0.10052781157010188
Iteration:  6300 	s:7.2391 	Average Loss:  0.15219689486033489
Iteration:  6400 	s:7.2806 	Average Loss:  0.11475074148877126
Iteration:  6500 	s:7.3853 	Average Loss:  0.15707122381507055
Iteration:  6600 	s:7.2417 	Average Loss:  0.0752867726565296
Iteration:  6700 	s:7.1571 	Average Loss:  0.11165807172838725
Iteration:  6800 	s:7.4103 	Average Loss:  0.196329181507233
Iteration:  6900 	s:7.3733 	Average Loss:  0.1046723547370539
Iteration:  7000 	s:7.2700 	Average Loss:  0.1732405230622598
Iteration:  7100 	s:7.1898 	Average Loss:  0.13143771880592336
Iteration:  7200 	s:7.1646 	Average Loss:  0.18409225569645288
Iteration:  7300 	s:7.2794 	Average Loss:  0.20821281293933452
Iteration:  7400 	s:7.3485 	Average Loss:  0.1645207446699112
Iteration:  7500 	s:7.1218 	Average Loss:  0.064661169876645
Iteration:  7600 	s:7.0979 	Average Loss:  0.07356875920794337
Iteration:  7700 	s:6.9026 	Average Loss:  0.08748055529255802
Iteration:  7800 	s:7.0634 	Average Loss:  0.10357873963399207
Iteration:  7900 	s:7.1320 	Average Loss:  0.11016900958157173
Iteration:  8000 	s:7.2042 	Average Loss:  0.1373561510297277
Iteration:  8100 	s:7.0595 	Average Loss:  0.1354480325239519
Iteration:  8200 	s:6.8035 	Average Loss:  0.1278220195978848
Iteration:  8300 	s:7.1509 	Average Loss:  0.1336965086123552
Iteration:  8400 	s:6.7557 	Average Loss:  0.035289527094427384
Iteration:  8500 	s:6.9406 	Average Loss:  0.11821693515065451
Iteration:  8600 	s:6.8650 	Average Loss:  0.06998306840390821
Iteration:  8700 	s:6.9488 	Average Loss:  0.22501314179207427
Iteration:  8800 	s:6.9949 	Average Loss:  0.08059957081829973
Iteration:  8900 	s:7.1240 	Average Loss:  0.04273485726382735
Iteration:  9000 	s:7.2472 	Average Loss:  0.1509286856602288
Iteration:  9100 	s:7.2254 	Average Loss:  0.07518716500309743
Iteration:  9200 	s:6.9179 	Average Loss:  0.13424809537654295
Iteration:  9300 	s:7.2390 	Average Loss:  0.14530209052313647
Iteration:  9400 	s:7.2528 	Average Loss:  0.13400266028811608
Iteration:  9500 	s:7.1050 	Average Loss:  0.10120163364221547
Iteration:  9600 	s:6.9331 	Average Loss:  0.0984859061033103
Iteration:  9700 	s:7.0051 	Average Loss:  0.0715085236974263
Iteration:  9800 	s:7.0790 	Average Loss:  0.06715800007085117
Iteration:  9900 	s:7.0984 	Average Loss:  0.14643526884143834
Iteration:  10000 	s:6.7964 	Average Loss:  0.044151667007569576
Epoch time:  358.2367272377014
Epoch 3
Iteration:  10100 	s:6.8681 	Average Loss:  0.10773514159656752
Iteration:  10200 	s:7.0553 	Average Loss:  0.08956666775127141
Iteration:  10300 	s:7.0120 	Average Loss:  0.09610904208962268
Iteration:  10400 	s:7.0889 	Average Loss:  0.14315305198394923
Iteration:  10500 	s:6.7590 	Average Loss:  0.09561879283630063
Iteration:  10600 	s:6.7567 	Average Loss:  0.03229598525070478
Iteration:  10700 	s:6.8908 	Average Loss:  0.07134507708707899
