Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:7.8905 	Average Loss:  2.7654087257385256
Iteration:  200 	s:7.4046 	Average Loss:  2.7527667462825773
Iteration:  300 	s:7.2321 	Average Loss:  2.5088401341438296
Iteration:  400 	s:7.0148 	Average Loss:  2.356077377796173
Iteration:  500 	s:6.8768 	Average Loss:  2.0525684279948475
Iteration:  600 	s:6.9983 	Average Loss:  1.688748475573957
Iteration:  700 	s:6.8782 	Average Loss:  1.402061269111
Iteration:  800 	s:6.8922 	Average Loss:  0.891068242827896
Iteration:  900 	s:6.8513 	Average Loss:  0.7063665976841003
Iteration:  1000 	s:6.8893 	Average Loss:  0.5218307916808408
Iteration:  1100 	s:6.7542 	Average Loss:  0.4953386871418115
Iteration:  1200 	s:6.6648 	Average Loss:  0.515702845967171
Iteration:  1300 	s:6.6783 	Average Loss:  0.43026667730897317
Iteration:  1400 	s:6.6442 	Average Loss:  0.42852220530395657
Iteration:  1500 	s:6.5704 	Average Loss:  0.4709322704747683
Iteration:  1600 	s:6.6096 	Average Loss:  0.2544134314273833
Iteration:  1700 	s:6.5958 	Average Loss:  0.32489209160184146
Iteration:  1800 	s:6.9279 	Average Loss:  0.5405592982242251
Iteration:  1900 	s:6.6269 	Average Loss:  0.400278949857493
Iteration:  2000 	s:6.5894 	Average Loss:  0.384502084333435
Iteration:  2100 	s:6.8371 	Average Loss:  0.3092332645828719
Iteration:  2200 	s:6.9110 	Average Loss:  0.45518126771428796
Iteration:  2300 	s:6.9133 	Average Loss:  0.35361875086775396
Iteration:  2400 	s:6.9325 	Average Loss:  0.45097441679658007
Iteration:  2500 	s:6.5243 	Average Loss:  0.1331526239127561
Iteration:  2600 	s:6.3753 	Average Loss:  0.24621716126035115
Iteration:  2700 	s:6.1513 	Average Loss:  0.12227346089936507
Iteration:  2800 	s:6.1834 	Average Loss:  0.35470728316173433
Iteration:  2900 	s:6.3550 	Average Loss:  0.31206210332485623
Iteration:  3000 	s:6.5025 	Average Loss:  0.3179698683761308
Iteration:  3100 	s:6.3670 	Average Loss:  0.22444875538214545
Iteration:  3200 	s:6.3755 	Average Loss:  0.24179820560142626
Iteration:  3300 	s:6.4550 	Average Loss:  0.3419781382251131
Iteration:  3400 	s:6.1641 	Average Loss:  0.15543400455445316
Iteration:  3500 	s:6.3727 	Average Loss:  0.2522835140438474
