random seed,lr,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,accuracy epoch 11,accuracy epoch 12,accuracy epoch 13,accuracy epoch 14,accuracy epoch 15,accuracy epoch 16,accuracy epoch 17,accuracy epoch 18,accuracy epoch 19,accuracy epoch 20,accuracy epoch 21,accuracy epoch 22,accuracy epoch 23,accuracy epoch 24,accuracy epoch 25,accuracy epoch 26,accuracy epoch 27,accuracy epoch 28,accuracy epoch 29,accuracy epoch 30
1234,0.0001,0.073394,0.119266,0.284404,0.40367,0.550459,0.504587,0.642202,0.66055,0.59633,0.623853,0.66055,0.669725,0.633028,0.678899,0.669725,0.743119,0.761468,0.706422,0.752294,0.761468,0.761468,0.761468,0.761468,0.678899,0.706422,0.724771,0.816514,0.816514,0.706422,0.779817
1234,0.0004,0.073394,0.357798,0.440367,0.46789,0.568807,0.633028,0.651376,0.724771,0.688073,0.688073,0.715596,0.688073,0.697248,0.724771,0.743119,0.825688,0.761468,0.788991,0.743119,0.770642,0.807339,0.761468,0.798165,0.825688,0.752294,0.788991,0.779817,0.220183,0.137615,0.357798
3177,0.0001,0.063636,0.172727,0.336364,0.463636,0.545455,0.690909,0.681818,0.7,0.818182,0.8,0.718182,0.790909,0.809091,0.763636,0.809091,0.818182,0.8,0.772727,0.772727,0.763636,0.845455,0.827273,0.854545,0.790909,0.809091,0.8,0.727273,0.845455,0.827273,0.818182
3177,0.0004,0.209091,0.3,0.436364,0.527273,0.581818,0.718182,0.736364,0.827273,0.818182,0.772727,0.727273,0.745455,0.845455,0.763636,0.845455,0.818182,0.845455,0.736364,0.781818,0.818182,0.809091,0.809091,0.827273,0.818182,0.8,0.836364,0.836364,0.827273,0.845455,0.836364
5848,0.0001,0.090909,0.145455,0.218182,0.4,0.572727,0.545455,0.609091,0.6,0.627273,0.6,0.7,0.754545,0.718182,0.663636,0.663636,0.709091,0.672727,0.736364,0.7,0.772727,0.718182,0.727273,0.772727,0.754545,0.763636,0.781818,0.790909,0.772727,0.754545,0.754545
5848,0.0004,0.1,0.354545,0.390909,0.536364,0.645455,0.581818,0.709091,0.7,0.690909,0.709091,0.727273,0.754545,0.7,0.727273,0.754545,0.754545,0.790909,0.727273,0.754545,0.763636,0.781818,0.736364,0.772727,0.763636,0.790909,0.781818,0.781818,0.781818,0.781818,0.781818
9175,0.0001,0.081818,0.2,0.245455,0.454545,0.545455,0.545455,0.636364,0.654545,0.663636,0.6,0.654545,0.7,0.727273,0.663636,0.627273,0.7,0.754545,0.772727,0.781818,0.727273,0.781818,0.8,0.8,0.754545,0.727273,0.790909,0.763636,0.790909,0.772727,0.772727
9175,0.0004,0.172727,0.181818,0.454545,0.509091,0.536364,0.581818,0.654545,0.672727,0.636364,0.727273,0.745455,0.727273,0.736364,0.718182,0.8,0.709091,0.672727,0.745455,0.809091,0.790909,0.827273,0.736364,0.790909,0.809091,0.827273,0.772727,0.809091,0.8,0.8,0.809091
8725,0.0001,0.045455,0.163636,0.2,0.327273,0.545455,0.472727,0.590909,0.609091,0.618182,0.6,0.627273,0.609091,0.754545,0.681818,0.627273,0.6,0.654545,0.672727,0.654545,0.709091,0.618182,0.681818,0.681818,0.672727,0.745455,0.709091,0.7,0.672727,0.7,0.727273
8725,0.0004,0.118182,0.245455,0.345455,0.472727,0.572727,0.509091,0.627273,0.618182,0.590909,0.636364,0.709091,0.754545,0.709091,0.663636,0.690909,0.618182,0.763636,0.745455,0.681818,0.754545,0.709091,0.7,0.709091,0.736364,0.709091,0.709091,0.690909,0.718182,0.7,0.709091
