random seed,data_dir,num train,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,accuracy epoch 11,accuracy epoch 12,accuracy epoch 13,accuracy epoch 14,accuracy epoch 15,accuracy epoch 16,accuracy epoch 17,accuracy epoch 18,accuracy epoch 19,accuracy epoch 20,accuracy epoch 21,accuracy epoch 22,accuracy epoch 23,accuracy epoch 24,accuracy epoch 25,accuracy epoch 26,accuracy epoch 27,accuracy epoch 28,accuracy epoch 29,accuracy epoch 30,accuracy epoch 31,accuracy epoch 32,accuracy epoch 33,accuracy epoch 34,accuracy epoch 35,accuracy epoch 36,accuracy epoch 37,accuracy epoch 38,accuracy epoch 39,accuracy epoch 40,accuracy epoch 41,accuracy epoch 42,accuracy epoch 43,accuracy epoch 44,accuracy epoch 45,accuracy epoch 46,accuracy epoch 47,accuracy epoch 48,accuracy epoch 49,accuracy epoch 50,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10,time epoch 11,time epoch 12,time epoch 13,time epoch 14,time epoch 15,time epoch 16,time epoch 17,time epoch 18,time epoch 19,time epoch 20,time epoch 21,time epoch 22,time epoch 23,time epoch 24,time epoch 25,time epoch 26,time epoch 27,time epoch 28,time epoch 29,time epoch 30,time epoch 31,time epoch 32,time epoch 33,time epoch 34,time epoch 35,time epoch 36,time epoch 37,time epoch 38,time epoch 39,time epoch 40,time epoch 41,time epoch 42,time epoch 43,time epoch 44,time epoch 45,time epoch 46,time epoch 47,time epoch 48,time epoch 49,time epoch 50
1234,leaf_11,10,0.072727,0.072727,0.072727,0.131818,0.147727,0.256818,0.372727,0.343182,0.406818,0.438636,0.384091,0.477273,0.495455,0.486364,0.525,0.513636,0.540909,0.540909,0.538636,0.559091,0.568182,0.568182,0.570455,0.577273,0.588636,0.577273,0.595455,0.581818,0.584091,0.590909,0.559091,0.570455,0.554545,0.568182,0.575,0.575,0.588636,0.572727,0.604545,0.595455,0.597727,0.604545,0.604545,0.604545,0.602273,0.602273,0.602273,0.604545,0.602273,0.602273,4.7757,4.8322,4.8045,4.8467,4.8077,4.8543,4.8227,4.827,4.7956,4.8139,4.8388,4.8279,4.8446,4.8284,4.8686,4.837,4.8236,4.8778,4.781,4.8404,4.8102,4.8479,4.8436,4.8698,4.8757,4.8569,4.7883,4.8726,4.8956,4.8941,4.7916,4.8318,4.8428,4.8951,4.8574,4.8056,4.7766,4.7966,4.8481,4.8235,4.8635,4.8886,4.9005,4.9034,4.7062,4.64,4.6675,4.8415,4.6772,4.6743
3177,leaf_11,10,0.081818,0.159091,0.118182,0.202273,0.270455,0.263636,0.290909,0.379545,0.390909,0.377273,0.534091,0.477273,0.5,0.543182,0.554545,0.547727,0.572727,0.540909,0.622727,0.563636,0.604545,0.568182,0.625,0.611364,0.604545,0.581818,0.627273,0.620455,0.597727,0.618182,0.611364,0.643182,0.652273,0.65,0.645455,0.647727,0.638636,0.659091,0.656818,0.647727,0.659091,0.663636,0.654545,0.661364,0.593182,0.597727,0.575,0.568182,0.597727,0.606818,4.9368,4.9077,4.9049,4.7993,4.8941,4.8696,4.9088,4.909,4.8684,4.8549,4.8742,4.9184,4.8923,4.9052,4.9182,4.9002,4.901,4.8426,4.9029,4.8911,4.8782,4.8787,4.8534,4.9194,4.91,4.8788,4.847,4.8947,4.7168,4.6327,4.8692,4.6902,4.7025,4.6407,4.7255,4.6771,4.7077,4.6671,4.6823,4.6881,4.668,4.6378,4.6885,4.6892,4.6684,4.6712,4.688,4.7152,4.6735,4.6846
5848,leaf_11,10,0.152273,0.145455,0.086364,0.179545,0.159091,0.311364,0.4,0.375,0.461364,0.456818,0.522727,0.406818,0.513636,0.606818,0.570455,0.575,0.615909,0.611364,0.593182,0.627273,0.638636,0.622727,0.618182,0.622727,0.611364,0.6,0.606818,0.627273,0.629545,0.638636,0.606818,0.631818,0.627273,0.631818,0.622727,0.629545,0.627273,0.636364,0.638636,0.634091,0.627273,0.631818,0.645455,0.629545,0.629545,0.629545,0.631818,0.634091,0.634091,0.629545,4.6508,4.6919,4.6451,4.6365,4.6488,4.697,4.6919,4.6711,4.6301,4.6759,4.7158,4.6437,4.6809,4.6466,4.6324,4.5608,4.6369,4.6719,4.6972,4.6738,4.6077,4.6848,4.7197,4.6385,4.6925,4.5999,4.6353,4.7043,4.6936,4.7112,4.6801,4.6934,4.6366,4.6519,4.7007,4.6549,4.6858,4.6251,4.6354,4.6608,4.6604,4.654,4.674,4.6582,4.6313,4.6767,4.6791,4.658,4.5841,4.7076
9175,leaf_11,10,0.077273,0.077273,0.077273,0.140909,0.234091,0.252273,0.336364,0.334091,0.334091,0.477273,0.454545,0.506818,0.461364,0.536364,0.511364,0.570455,0.497727,0.543182,0.552273,0.568182,0.606818,0.568182,0.590909,0.579545,0.604545,0.588636,0.620455,0.622727,0.579545,0.625,0.615909,0.572727,0.604545,0.590909,0.604545,0.629545,0.606818,0.615909,0.618182,0.618182,0.602273,0.595455,0.620455,0.625,0.579545,0.597727,0.579545,0.613636,0.602273,0.602273,4.6604,4.6529,4.6574,4.6498,4.6496,4.6551,4.6766,4.7044,4.5852,4.6793,4.6646,4.6313,4.6588,4.6675,4.6672,4.6399,4.6267,4.653,4.7072,4.6961,4.6321,4.6546,4.6665,4.6381,4.694,4.6568,4.6232,4.6208,4.6442,4.6268,4.6754,4.635,4.6292,4.5854,4.6464,4.6661,4.6837,4.6571,4.6953,4.6785,4.6779,4.6206,4.6803,4.6238,4.5824,4.6771,4.6704,4.6444,4.6723,4.6791
1234,leaf_11,20,0.086364,0.093939,0.257576,0.383333,0.460606,0.436364,0.548485,0.577273,0.654545,0.651515,0.592424,0.678788,0.701515,0.689394,0.642424,0.692424,0.69697,0.724242,0.704545,0.736364,0.727273,0.724242,0.751515,0.751515,0.740909,0.74697,0.716667,0.748485,0.754545,0.766667,0.737879,0.757576,0.739394,0.725758,0.759091,0.774242,0.762121,0.775758,0.798485,0.762121,0.79697,0.786364,0.786364,0.790909,0.784849,0.784849,0.783333,0.784849,0.786364,0.787879,9.6211,9.7327,9.7562,9.7393,9.7203,9.736,9.729,9.7311,9.6915,9.6723,9.7084,9.618,9.7367,9.7061,9.6596,9.7658,9.7231,9.7725,9.4956,9.7129,9.7061,9.7135,9.7508,9.6924,9.7158,9.7365,9.7226,9.6972,9.737,9.7332,9.646,9.7408,9.7195,9.6787,9.638,9.6844,9.6424,9.5728,9.7411,9.7369,9.6742,9.6506,9.6607,9.6617,9.6474,9.624,9.6209,9.6385,9.6613,9.6124
3177,leaf_11,20,0.080303,0.139394,0.30303,0.413636,0.469697,0.533333,0.466667,0.519697,0.565152,0.559091,0.595455,0.615152,0.598485,0.6,0.557576,0.639394,0.64697,0.643939,0.692424,0.666667,0.648485,0.680303,0.69697,0.672727,0.672727,0.65303,0.701515,0.69697,0.695455,0.713636,0.724242,0.693939,0.698485,0.715151,0.715151,0.725758,0.677273,0.669697,0.678788,0.660606,0.722727,0.69697,0.698485,0.719697,0.713636,0.710606,0.712121,0.712121,0.709091,0.713636,9.6483,9.6857,9.6569,9.7702,9.7609,9.7426,9.782,9.7387,9.782,9.7347,9.7397,9.7696,9.6832,9.7248,9.7904,9.689,9.6627,9.7595,9.7244,9.7789,9.7813,9.759,9.6288,9.7865,9.7758,9.7225,9.6957,9.6966,9.6668,10.1909,10.1158,10.1941,9.7266,10.1161,10.0992,10.1254,10.1341,9.8114,9.8399,9.8444,9.817,9.8368,9.8756,9.8207,9.8594,9.8972,9.8896,9.8649,9.9128,9.8869
5848,leaf_11,20,0.104545,0.110606,0.156061,0.404545,0.493939,0.457576,0.537879,0.584848,0.590909,0.590909,0.618182,0.622727,0.637879,0.643939,0.651515,0.666667,0.677273,0.651515,0.648485,0.672727,0.692424,0.715151,0.69697,0.64697,0.669697,0.651515,0.7,0.659091,0.684848,0.718182,0.69697,0.722727,0.725758,0.734848,0.721212,0.719697,0.715151,0.730303,0.730303,0.722727,0.733333,0.724242,0.721212,0.730303,0.725758,0.725758,0.730303,0.722727,0.728788,0.724242,9.8158,9.7755,9.6984,9.8585,9.8959,9.8045,9.7935,9.8467,9.8261,9.8625,9.7807,9.7881,9.7897,9.8017,9.8272,9.8396,9.8305,9.8361,9.8224,9.798,9.805,9.7861,9.7332,9.7978,9.8199,9.762,9.7726,9.7608,9.7955,9.8186,9.7687,9.6801,9.8083,9.9091,9.7878,9.8822,9.8084,9.8304,9.6654,9.8282,9.8406,9.823,9.7967,9.7045,9.8177,9.7247,9.8093,9.7964,9.866,9.8376
9175,leaf_11,20,0.086364,0.10303,0.327273,0.404545,0.524242,0.551515,0.536364,0.609091,0.543939,0.610606,0.589394,0.589394,0.613636,0.657576,0.659091,0.65,0.662121,0.630303,0.633333,0.636364,0.704545,0.657576,0.698485,0.681818,0.701515,0.657576,0.686364,0.692424,0.692424,0.712121,0.689394,0.70303,0.698485,0.709091,0.701515,0.698485,0.695455,0.715151,0.721212,0.707576,0.736364,0.725758,0.721212,0.733333,0.728788,0.728788,0.728788,0.727273,0.727273,0.725758,9.8232,9.8256,9.8065,9.7988,9.8063,9.9096,9.8695,9.8967,9.8453,9.8593,9.8382,9.8883,9.9097,9.8388,9.837,9.795,9.8267,9.8529,9.823,9.8248,9.8344,9.8468,9.9058,9.8451,9.8158,9.8235,9.7831,9.8273,9.852,9.8728,9.8642,9.8573,9.9311,9.8804,9.8552,9.8294,9.8359,9.8146,9.8436,9.7772,9.8462,9.8488,9.7494,9.8583,9.8123,9.8953,9.7504,9.8699,9.8969,9.8319
1234,leaf_11,30,0.151515,0.270707,0.359596,0.523232,0.559596,0.561616,0.60404,0.638384,0.616162,0.644444,0.638384,0.672727,0.715151,0.723232,0.737374,0.743434,0.719192,0.743434,0.690909,0.755556,0.781818,0.759596,0.783838,0.769697,0.759596,0.765657,0.769697,0.765657,0.783838,0.783838,0.783838,0.781818,0.793939,0.781818,0.789899,0.791919,0.789899,0.785859,0.789899,0.787879,0.785859,0.789899,0.791919,0.775758,0.779798,0.785859,0.781818,0.787879,0.783838,0.785859,14.8787,14.9021,14.9335,14.9635,14.9348,14.9452,14.9644,14.8128,14.8766,14.8473,14.8358,14.69,14.6369,14.7022,14.7373,14.6906,14.7127,14.7843,14.6989,14.6896,14.6563,14.7203,14.5787,14.5713,14.5991,14.5632,14.6454,14.6339,14.5573,14.6243,14.649,14.6048,14.6156,14.5859,14.5779,14.642,14.543,14.6688,14.7234,14.7464,14.739,14.7528,14.7336,14.7053,14.7228,14.8177,14.8543,15.4238,15.2276,15.257
3177,leaf_11,30,0.161616,0.40404,0.414141,0.484848,0.511111,0.571717,0.606061,0.658586,0.678788,0.676768,0.686869,0.723232,0.666667,0.707071,0.745455,0.717172,0.721212,0.713131,0.731313,0.719192,0.749495,0.765657,0.741414,0.731313,0.761616,0.761616,0.763636,0.757576,0.759596,0.767677,0.781818,0.757576,0.763636,0.769697,0.779798,0.775758,0.775758,0.791919,0.785859,0.787879,0.783838,0.727273,0.739394,0.727273,0.745455,0.779798,0.779798,0.777778,0.789899,0.785859,15.2426,15.2109,15.1766,15.2447,15.2627,15.2006,15.1696,15.243,15.1802,15.2857,15.2643,15.1388,15.2112,15.238,15.1831,15.2559,15.221,15.1999,15.2473,15.2528,15.2307,15.205,15.2554,15.2322,15.3261,15.3353,15.3851,15.1951,15.2933,15.3416,15.2893,15.362,14.9536,15.3322,15.3969,15.0063,15.0329,15.2454,15.2243,15.1632,15.0621,15.0379,15.0781,15.1398,14.5825,14.5809,14.848,14.801,14.8123,14.9056
