task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
sort_list_indices_length7_mnist,3177,50,0.002,0.0,0.002,0.004,0.012,0.02,0.124,0.262,0.366,0.512,38.9873,35.226,33.8787,34.5112,34.9322,38.9985,39.125,42.3552,40.4427,43.0042
sort_list_indices_length7_mnist,5848,50,0.008,0.004,0.006,0.01,0.012,0.01,0.04,0.36,0.594,0.676,36.8237,34.2243,34.7869,35.9319,36.3793,36.7329,40.2992,42.3445,39.7406,36.212
sort_list_indices_length7_mnist,9175,50,0.0,0.008,0.006,0.004,0.026,0.244,0.39,0.486,0.568,0.558,36.091,36.8972,38.201,39.1217,39.2067,42.0353,39.9553,41.6583,38.7159,38.6282
sort_list_indices_length7_mnist,8725,50,0.002,0.0,0.002,0.002,0.0,0.0,0.022,0.208,0.722,0.844,36.7351,35.3172,36.3434,35.7888,36.287,35.238,38.8975,42.8395,40.5663,35.8409
sort_list_indices_length7_mnist,1234,50,0.004,0.0,0.008,0.008,0.048,0.362,0.588,0.666,0.698,0.732,37.7855,35.6453,38.5718,36.8995,38.9988,43.7612,39.1104,40.5964,37.3649,37.2258
sort_list_indices_length7_mnist,3177,100,0.01,0.026,0.092,0.368,0.478,0.564,0.568,0.572,0.552,0.618,67.0626,65.0932,71.3103,73.4557,75.536,67.4577,69.9733,64.2891,64.0951,61.5536
sort_list_indices_length7_mnist,5848,100,0.008,0.028,0.186,0.278,0.398,0.44,0.416,0.434,0.498,0.462,66.1128,67.8241,70.5506,71.2256,73.89,70.5409,67.5097,66.9326,64.036,66.1173
sort_list_indices_length7_mnist,9175,100,0.002,0.012,0.026,0.398,0.69,0.74,0.746,0.764,0.746,0.75,63.5092,63.7409,71.0436,73.8726,70.4282,70.3591,64.1764,64.7526,65.8995,63.1376
sort_list_indices_length7_mnist,8725,100,0.004,0.008,0.03,0.52,0.836,0.84,0.884,0.892,0.898,0.908,67.1672,70.1389,72.6821,75.0458,66.3983,67.5719,65.8636,61.4802,61.6199,63.4855
sort_list_indices_length7_mnist,1234,100,0.01,0.012,0.296,0.63,0.688,0.712,0.73,0.734,0.746,0.756,67.0652,71.072,77.368,72.004,68.3451,65.0211,66.8439,64.9343,58.9739,62.718
sort_list_indices_length7_mnist,3177,500,0.016,0.488,0.708,0.704,0.756,0.768,0.78,0.776,0.764,0.796,451.8126,479.6858,316.2289,304.0886,298.9465,301.4777,292.4772,280.9244,284.8216,272.3983
sort_list_indices_length7_mnist,5848,500,0.02,0.476,0.51,0.562,0.566,0.584,0.586,0.58,0.586,0.59,446.3489,451.9726,318.706,309.7672,306.2484,309.2453,301.2505,305.6826,296.7287,297.311
sort_list_indices_length7_mnist,9175,500,0.016,0.38,0.574,0.588,0.64,0.75,0.758,0.766,0.764,0.788,443.1741,522.3786,341.4513,309.8287,316.6388,308.8775,299.2639,298.9769,297.1709,298.8295
sort_list_indices_length7_mnist,8725,500,0.008,0.34,0.572,0.608,0.616,0.636,0.618,0.62,0.614,0.618,390.014,542.3655,398.412,312.8208,308.6775,308.6644,303.7434,303.1106,299.2394,298.1362
sort_list_indices_length7_mnist,1234,500,0.1,0.594,0.834,0.894,0.902,0.908,0.896,0.902,0.922,0.924,487.4153,404.6934,313.406,306.8266,304.797,294.3752,283.148,261.6337,266.4557,262.7119
sort_list_indices_length7_mnist,3177,1000,0.06,0.644,0.726,0.73,0.738,0.774,0.784,0.768,0.794,0.78,1146.5571,1139.4389,859.6669,710.6499,676.4848,664.2974,663.9924,654.6613,633.5532,612.7418
sort_list_indices_length7_mnist,5848,1000,0.032,0.49,0.552,0.594,0.556,0.612,0.602,0.606,0.592,0.626,1155.2044,1163.2834,1060.4882,851.3867,755.371,708.9351,706.7869,701.9201,681.7342,693.5542
sort_list_indices_length7_mnist,9175,1000,0.012,0.566,0.85,0.87,0.9,0.892,0.922,0.924,0.92,0.938,1080.019,1173.654,903.2029,702.1938,703.1891,663.8778,630.9819,625.6189,601.9594,577.4601
sort_list_indices_length7_mnist,8725,1000,0.006,0.61,0.684,0.744,0.75,0.75,0.738,0.76,0.752,0.77,1068.8671,1161.5625,996.8235,763.8893,709.8197,699.0894,704.2372,694.3758,650.534,650.7602
sort_list_indices_length7_mnist,1234,1000,0.162,0.628,0.682,0.756,0.726,0.772,0.75,0.77,0.788,0.756,1186.5077,1104.7008,978.927,792.4139,689.3115,716.9065,699.2626,663.2482,643.6485,632.1999
