task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
add_two_numbers_mnist,3177,1000,0.004,0.78,0.85,0.892,0.89,0.92,0.91,0.922,0.936,0.924,551.4496,561.8971,568.0875,552.5351,536.2928,544.194,586.2042,542.6569,573.3593,572.0902
add_two_numbers_mnist,5848,1000,0.0,0.786,0.864,0.888,0.892,0.904,0.928,0.928,0.938,0.928,546.4149,550.895,539.9259,536.5425,518.3826,539.1079,523.3032,521.7746,520.9572,516.1839
add_two_numbers_mnist,9175,1000,0.002,0.752,0.848,0.892,0.914,0.918,0.926,0.914,0.918,0.926,533.4329,535.9815,527.1966,524.4531,524.7476,524.0303,522.684,516.5971,514.98,514.4669
add_two_numbers_svhn,3177,1000,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,549.4755,556.4737,544.56,540.9243,546.3769,541.7972,543.9844,544.5486,542.0115,543.8117
add_two_numbers_svhn,5848,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.1919,742.3628,742.7016,735.0086,722.2625,766.0092,814.2003,771.5016,747.9593,763.4145
add_two_numbers_svhn,9175,1000,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.0,0.002,0.002,774.3646,788.424,773.7371,787.3796,785.6156,780.4799,791.8683,778.9796,789.546,776.2864
median_of_two_sorted_arrays_mnist,3177,1000,0.748,0.864,0.894,0.906,0.906,0.91,0.916,0.924,0.922,0.92,501.009,511.3809,501.9277,504.6273,509.7252,504.8008,508.3471,497.3462,506.8819,499.6167
median_of_two_sorted_arrays_mnist,5848,1000,0.754,0.876,0.91,0.916,0.926,0.92,0.918,0.926,0.932,0.938,592.586,599.9054,597.4582,590.1787,595.2676,595.5232,594.0931,598.1279,597.7881,590.7955
median_of_two_sorted_arrays_mnist,9175,1000,0.738,0.874,0.898,0.91,0.918,0.92,0.916,0.922,0.914,0.926,561.5667,546.9543,548.3263,519.9965,512.5736,517.5702,504.6348,509.0777,510.5911,514.3092
median_of_two_sorted_arrays_svhn,3177,1000,0.104,0.096,0.108,0.122,0.09,0.104,0.126,0.118,0.128,0.154,502.058,498.1224,507.1461,499.8831,511.7632,529.7098,502.8072,507.7637,539.3016,505.4139
