task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
sum_2_mnist,3177,100,0.854,0.9,0.934,0.94,0.952,0.94,0.952,0.938,0.956,0.95,46.9857,46.833,49.2591,49.2396,49.505,48.9956,49.4722,50.577,49.9089,50.0706
sum_2_mnist,5848,100,0.496,0.616,0.648,0.65,0.628,0.668,0.664,0.668,0.642,0.68,52.2274,50.1095,49.1139,49.5787,49.9546,50.1433,49.8731,48.9914,49.8513,51.3445
sum_2_mnist,9175,100,0.866,0.904,0.944,0.946,0.95,0.962,0.968,0.952,0.954,0.956,52.3212,49.4325,49.3379,50.2061,49.8915,49.4779,49.4815,50.4663,49.8729,50.4247
sum_3_mnist,3177,100,0.36,0.882,0.914,0.93,0.928,0.938,0.956,0.936,0.948,0.952,54.121,51.591,53.4839,52.4728,53.1458,52.5185,53.3733,51.7432,52.6059,52.7085
sum_3_mnist,5848,100,0.176,0.872,0.944,0.91,0.938,0.944,0.946,0.948,0.946,0.956,54.3746,51.9586,52.7779,51.8917,52.5313,52.5227,52.2724,52.1277,52.7086,51.5611
sum_3_mnist,9175,100,0.608,0.896,0.924,0.946,0.96,0.964,0.964,0.956,0.966,0.962,54.97,52.0349,53.1724,53.3517,52.2951,52.2708,52.8236,52.6301,52.4073,51.5537
sum_4_mnist,3177,100,0.164,0.788,0.86,0.9,0.922,0.936,0.93,0.94,0.936,0.932,55.6975,54.0006,52.9008,53.2754,52.4522,53.0933,53.7515,55.5266,54.6722,53.9041
sum_4_mnist,5848,100,0.124,0.744,0.916,0.94,0.952,0.96,0.964,0.964,0.968,0.968,59.1879,56.6934,54.3842,54.8352,56.18,54.416,55.7723,55.7435,55.6882,55.6156
sum_4_mnist,9175,100,0.146,0.798,0.874,0.902,0.934,0.932,0.94,0.94,0.94,0.956,57.355,54.311,55.7888,55.717,54.7804,56.1485,55.4222,58.5444,58.158,57.0311
add_mod_3_mnist,3177,100,0.852,0.914,0.91,0.946,0.948,0.952,0.946,0.948,0.958,0.946,54.9754,53.15,51.8508,52.2482,52.894,51.7903,49.978,51.1804,50.9095,49.2307
add_mod_3_mnist,5848,100,0.5,0.67,0.654,0.744,0.746,0.726,0.75,0.75,0.716,0.722,53.8666,52.4511,52.156,49.2654,52.7082,50.5797,50.162,51.1587,50.4702,50.9874
add_mod_3_mnist,9175,100,0.864,0.928,0.952,0.96,0.966,0.968,0.958,0.952,0.964,0.962,54.6165,52.2491,47.8244,47.3218,45.867,46.7444,45.2844,46.1759,45.6953,46.555
add_sub_mnist,3177,100,0.586,0.88,0.908,0.932,0.934,0.936,0.952,0.946,0.948,0.94,51.6184,48.5366,47.7703,46.5158,46.5667,48.0779,47.6798,48.7993,51.7512,52.8062
add_sub_mnist,5848,100,0.258,0.89,0.928,0.904,0.934,0.94,0.952,0.95,0.954,0.956,54.2257,52.2123,54.0468,54.9563,52.2571,50.3234,51.2767,55.7867,52.5934,52.8571
add_sub_mnist,9175,100,0.52,0.868,0.934,0.942,0.948,0.952,0.958,0.952,0.962,0.964,54.4554,53.413,52.819,52.0695,52.9951,52.8568,52.7986,53.7945,54.3886,51.573
eq_2_mnist,3177,100,0.89,0.902,0.91,0.936,0.918,0.94,0.95,0.96,0.946,0.974,51.2899,49.7737,50.6359,50.5483,51.0467,52.2188,50.576,51.4177,50.632,48.276
eq_2_mnist,5848,100,0.916,0.94,0.932,0.944,0.948,0.946,0.95,0.944,0.95,0.96,54.0493,50.7674,50.6998,49.2378,50.9812,51.2282,49.9393,48.6425,50.3609,49.7739
eq_2_mnist,9175,100,0.92,0.908,0.938,0.932,0.952,0.942,0.942,0.934,0.92,0.93,50.9826,51.152,52.5767,50.7476,51.0113,49.311,49.5556,49.8181,51.2614,50.8656
how_many_3_or_4_mnist,3177,100,0.792,0.916,0.928,0.94,0.94,0.948,0.936,0.946,0.966,0.954,57.154,55.1976,55.5658,52.7871,56.0428,54.6125,58.012,56.0525,55.4948,57.0826
how_many_3_or_4_mnist,5848,100,0.722,0.88,0.924,0.926,0.94,0.928,0.94,0.96,0.95,0.954,58.8131,54.3977,55.3115,55.3126,56.8964,55.3433,58.6856,55.6219,54.157,55.5909
