task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
sum_3_svhn,3177,100,0.052,0.074,0.062,0.064,0.054,0.086,0.078,0.068,0.074,0.084,81.4783,79.0974,80.0891,80.2689,81.0945,77.063,83.8546,80.726,78.4841,79.5158
sum_3_svhn,5848,100,0.076,0.082,0.084,0.076,0.076,0.072,0.092,0.078,0.076,0.076,83.4729,81.0319,83.5884,81.1814,82.2582,79.921,81.4354,84.6461,83.1701,83.8901
sum_3_svhn,9175,100,0.078,0.068,0.08,0.076,0.062,0.088,0.068,0.08,0.076,0.078,83.2286,81.2036,83.7929,83.5053,84.9028,84.3766,84.2015,83.8196,83.6337,83.3381
sum_4_svhn,3177,100,0.058,0.048,0.048,0.074,0.058,0.06,0.052,0.072,0.07,0.076,90.3647,87.9854,86.8269,88.8809,90.7046,91.1951,89.4785,92.5466,91.7227,91.9962
sum_4_svhn,5848,100,0.08,0.052,0.072,0.068,0.06,0.068,0.052,0.076,0.058,0.056,93.8891,89.8287,93.9508,91.8833,90.6565,90.3436,89.8936,88.6588,88.6791,91.982
sum_4_svhn,9175,100,0.058,0.046,0.07,0.058,0.054,0.064,0.06,0.058,0.062,0.08,98.3562,92.9804,92.1677,94.582,92.4853,92.2936,96.2203,90.0086,85.6841,90.31
add_mod_3_svhn,3177,100,0.312,0.34,0.33,0.328,0.302,0.328,0.32,0.31,0.366,0.356,84.9492,84.1681,83.3981,81.3346,80.8763,82.0381,83.8362,84.5217,82.9883,85.5308
add_mod_3_svhn,5848,100,0.332,0.324,0.336,0.332,0.376,0.338,0.326,0.358,0.332,0.3,85.0255,81.7636,83.6169,87.7535,82.1054,80.0894,80.7588,77.6237,81.4867,79.4351
add_mod_3_svhn,9175,100,0.344,0.32,0.302,0.344,0.348,0.35,0.286,0.35,0.36,0.31,81.418,79.6095,82.6797,83.0465,84.3178,85.1722,84.8747,82.5798,84.0534,85.2136
add_sub_svhn,3177,100,0.054,0.094,0.088,0.074,0.064,0.086,0.066,0.062,0.076,0.102,86.8056,85.5077,84.9546,84.476,84.6617,84.4152,84.8982,85.9138,87.5566,86.0973
add_sub_svhn,5848,100,0.074,0.076,0.07,0.074,0.072,0.06,0.078,0.052,0.074,0.064,88.2877,88.1305,88.5107,88.3233,88.9775,90.5771,87.2464,88.5309,86.842,88.3228
add_sub_svhn,9175,100,0.088,0.072,0.072,0.064,0.068,0.06,0.074,0.054,0.072,0.068,94.4358,88.0,87.3162,87.0951,90.903,89.3604,86.5207,87.0914,87.4936,86.6362
eq_2_svhn,3177,100,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,82.375,80.1039,81.568,79.6806,80.2075,81.091,78.6943,79.0012,78.3719,78.8513
eq_2_svhn,5848,100,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,81.0986,79.4511,78.368,78.2239,79.4698,79.101,80.3832,83.1965,84.5408,83.5998
eq_2_svhn,9175,100,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,85.427,83.3695,83.9146,81.538,83.5403,83.66,82.7415,83.8375,82.6375,82.6005
how_many_3_or_4_svhn,3177,100,0.346,0.32,0.33,0.33,0.356,0.336,0.328,0.336,0.308,0.346,93.4244,90.3172,92.3854,91.9191,91.8096,93.7149,94.781,90.3856,91.6904,90.5507
how_many_3_or_4_svhn,5848,100,0.354,0.368,0.368,0.342,0.37,0.448,0.53,0.566,0.588,0.63,92.4953,90.1892,91.2987,93.3983,91.9337,91.3218,97.0886,89.3756,90.0998,90.773
how_many_3_or_4_svhn,9175,100,0.302,0.304,0.314,0.312,0.358,0.422,0.47,0.592,0.562,0.562,90.6333,93.1611,90.6378,91.5378,91.057,93.9167,96.2843,93.6828,93.5951,92.2437
how_many_not_3_and_not_4_svhn,3177,100,0.328,0.318,0.34,0.324,0.358,0.336,0.334,0.334,0.306,0.336,93.276,93.4506,89.7658,92.8082,90.7002,90.4338,94.2308,94.596,92.5509,92.8347
how_many_not_3_and_not_4_svhn,5848,100,0.344,0.362,0.36,0.34,0.376,0.444,0.536,0.604,0.586,0.628,96.9663,95.6209,96.0767,94.2517,93.0001,94.381,97.4199,94.0608,94.3152,91.8195
